,name,rybna_area
,Bachury,False
,Bachus,False
,Bacieczki,False
,Bacieczki-Kolonia,False
,Baciki Bliższe,False
,Baciki Dalsze,False
,Baciki Średnie,False
,Baciuty,False
,Baciuty-Kolonia,False
,Backi,False
,Bacowa,False
,Bacowie,False
,Bacówka,False
,Bacze,False
,Bacze Mokre,False
,Bacze Suche,False
,Bacze-Lipnik,False
,Baczka,False
,Baczki,False
,Baczki Fabryczne,False
,Baczków,False
,Baczyn,False
,Baczyna,False
,Baczyna-Kolonia,False
,Baczyńscy,False
,Baczysław,False
,Baćkowice,False
,Badonie,False
,Badowo-Dańki,False
,Badowo-Mściska,False
,Badów Górny,False
,Badrzychowice,False
,Badulki,False
,Badunia,False
,Badunie,False
,Badziski,False
,Bagatela,False
,Bagatele,False
,Bagatelka,False
,Bagdad,False
,Bagicz,False
,Bagielnica,False
,Bagienica,False
,Bagienice,False
,Bagienice Duże,False
,Bagienice Małe,False
,Bagienice Nowe,False
,Bagienice Szlacheckie,False
,Bagienice Włościańskie,False
,Bagienice-Folwark,False
,Bagienice-Pagórki,False
,Bagieniec,False
,Bagienka,False
,Bagienki,False
,Bagienko,False
,Bagienna,False
,Bagieńce,False
,Bagieńsko,False
,Bagińskie,False
,Bagna,False
,Bagnica,False
,Bagniewko,False
,Bagniewo,False
,Bagnisko,False
,Bagnity,False
,Bagniuki,False
,Bagno,False
,Bagno na Górkach,False
,Bagnowski Dwór,False
,Bagnówka,False
,Bagny,False
,Bagonica,False
,Bagrowo,False
,Bagrówka,False
,Bahnowa,False
,Baj,False
,Bajakowa,False
,Bajdów,False
,Bajdy,False
,Bajdyty,False
,Baje,False
,Bajerki,False
,Bajerówka,False
,Bajerska Maszyna,False
,Bajerze,False
,Bajki-Zalesie,False
,Bajkowizna,False
,Bajor,False
,Bajorek,False
,Bajorki,False
,Bajoro,False
,Bajorski Gaj,False
,Bajory,False
,Bajory Małe,False
,Bajory Wielkie,False
,Bajówka,False
,Bajtkowo,False
,Bajtkówka,False
,Bajwaki,False
,Bakałarzewo,False
,Bakaniuk,False
,Baklarzowa,False
,Bakończyce,False
,Baków,False
,Bakuła,False
,Bakun,False
,Bakus-Wanda,False
,Balachówka,False
,Balarówka,False
,Balbinów,False
,Balbuzy,False
,Balcarki,False
,Balcarzowice,False
,Balcarzówka,False
,Balcer,False
,Balcerów,False
,Balcery,False
,Balczakowa,False
,Balczewo,False
,Baldachów,False
,Baldram,False
,Baldwinowice,False
,Bale,False
,Balewko,False
,Balewo,False
,Balice,False
,Balice-Kolonia,False
,Balidza,False
,Baligród,False
,Baliki,False
,Balików,False
,Balin,False
,Balin Duży,False
,Balin Mały,False
,Balinka,False
,Balinkowa,False
,Balków,False
,Balnica,False
,Balonówka,False
,Balowa,False
,Balowa Góra,False
,Balowo,False
,Balowskie,False
,Balusie,False
,Bałachy,False
,Bałaje,False
,Bałamącek,False
,Bałamątek,False
,Bałamutowo,False
,Bałanówka,False
,Bałażówka,False
,Bałąg,False
,Bałcyny,False
,Bałdoń,False
,Bałdowice,False
,Bałdowo,False
,Bałdrzychów,False
,Bałdy,False
,Bałdzki Piec,False
,Bałędzianka,False
,Bałkan,False
,Bałkany,False
,Bałki,False
,Bałków,False
,Bałkówka ,False
,Bałosówka,False
,Bałoszyce,False
,Bałoszyce Małe,False
,Bałowo,False
,Bałtów,False
,Bałtówka,False
,Bałtrucie,False
,Bałucianka,False
,Bałucz,False
,Bałupiany,False
,Bałuty,False
,Banach,False
,Banachów,False
,Banachówka,False
,Banachy,False
,Banaczki,False
,Banasie,False
,Banasiówka,False
,Banasiówka Dolna,False
,Banasiówka Górna,False
,Banaszka,False
,Banaszki,False
,Banatki Duże,False
,Banatki Małe,False
,Bandlów,False
,Bandrów Narodowy,False
,Bandurowa,False
,Bandysie,False
,Bandzulka,False
,Bania,False
,Baniak,False
,Baniaki,False
,Banica,False
,Banicha,False
,Banie,False
,Banie Mazurskie,False
,Baniewice,False
,Baniewice Zaleskie,False
,Baniewo,False
,Baniki,False
,Banino,False
,Baniocha,False
,Baniówka,False
,Banki,False
,Bankowe,False
,Bankówka,False
,Banowice,False
,Banówka,False
,Bantachy,False
,Bańca,False
,Bańcerówka,False
,Bańdurówka,False
,Bańdury,False
,Bańdy,False
,Bańgów,False
,Bańka,False
,Bańki,False
,Bańkowskie,False
,Bańkowszczyzna,False
,Bańkówka,False
,Bańska Niżna,False
,Bańska Wyżna,False
,Bara,False
,Barabasze,False
,Barabaszówka,False
,Barak,False
,Baraki,False
,Baraki Chotumskie,False
,Baraki Osuchowskie,False
,Barakówka,False
,Baran,False
,Baranek,False
,Baran-Gajówka,False
,Barani Dół,False
,Barani Kąt,False
,Barania,False
,Barania Góra,False
,Barania Górka,False
,Barania Ruda,False
,Barania Szyja,False
,Baraniacki Potok,False
,Baranica,False
,Baranicha,False
,Baranie Góry,False
,Baraniec,False
,Baranina,False
,Baraniszki,False
,Baranizna,False
,Baranki,False
