,Nazwa,Kod,Jm,Ilość,Cena net.,Wartość net.,Stawka,Asortyment,Kategoria,Podatek,Marża net.,Cena sprz,Producent,Opis 1,Opis 2,Opis 3,Opis 4,Ilość kg/l,Il. w opak. zbiorczym
,SZKŁO SAMSUNG M12,20009083,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO SAMSUNG XCOVER 3,20000479,szt,"6,00","1,59","9,54",23 %,SZKŁO,,"2,22","112,44","114,03",,,,,,0,0
,SZKŁO UV SAMSUNG NOTE 10 PLUS,20011000,szt,"1,00","8,00","8,00",23 %,UV,,"1,84","56,23","64,23",,,,,,0,0
,SZKŁO XIAOMI MI 10T Lite,20008185,szt,"2,00","1,29","2,58",23 %,SZKŁO,,"0,60","38,08","39,37",,,,,,0,0
,SZKŁO XIAOMI MI 11 LITE 4G/5G,20010287,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO XIAOMI MI 8 LITE,20002398,szt,"1,00","1,59","1,59",23 %,SZKŁO,,"0,37","18,74","20,33",,,,,,0,0
,SZKŁO XIAOMI MI NOTE 10,20002527,szt,"4,00","1,29","5,16",23 %,SZKŁO,,"1,20","76,16","77,45",,,,,,0,0
,SZKŁO XIAOMI NOTE 8 T,20002404,szt,"1,00","1,79","1,79",23 %,SZKŁO,,"0,41","18,54","20,33",,,,,,0,0
,SZKŁO XIAOMI REDMI 7A,20002343,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO XIAOMI REDMI NOTE 10 10s,20010607,szt,"2,00","0,90","1,80",23 %,SZKŁO,,"0,42","38,86","39,76",,,,,,0,0
,SZKŁO XIAOMI REDMI NOTE 10 PRO MAX,20010447,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO XIAOMI REDMI NOTE 7,20002367,szt,"2,00","1,40","2,80",23 %,SZKŁO,,"0,64","37,86","39,26",,,,,,0,0
,SZKŁO XIAOMI REDMI NOTE 9T 5G,20009519,szt,"2,00","1,29","2,58",23 %,SZKŁO,,"0,60","38,08","39,37",,,,,,0,0
,UCHWYT BASEUS FUTURE GRAVITY CAR MOUNT,20006358,szt,"1,00","28,92","28,92",23 %,GRAWITACYJNE,,"6,65","10,92","39,84",,,,,,0,0
,UCHWYT BASEUS OSCULUM TYPE,20006402,szt,"1,00","19,00","19,00",23 %,GRAWITACYJNE,,"4,37","28,97","47,97",,,,,,0,0
,UCHWYT BASEUS PLATINIUM KIPS,20011444,szt,"2,00","16,71","33,42",23 %,STANDARD,,"7,68","39,76","56,47",,,,,,0,0
,UCHWYT NA MOTOCYKL GPS/MOBILE,20006501,szt,"1,00","11,20","11,20",23 %,SPORT,,"2,58","17,26","28,46",,,,,,0,0
,UCHWYT REMAX RM-C57,20012069,szt,"2,00","10,00","20,00",23 %,GRAWITACYJNE,,"4,60","43,42","53,42",,,,,,0,0
,UCHWYT UNIVERSAL CAR MOUNT AT03,20006365,szt,"1,00","10,50","10,50",23 %,STANDARD,,"2,42","13,08","23,58",,,,,,0,0
,UCHWYT WIRELESS CAR CHARGER SUI FOR ALL QI,20006495,szt,"2,00","19,80","39,60",23 %,GRAWITACYJNE,,"9,10","9,18","28,98",,,,,,0,0
,UCHYWT BASEUS DO KOKPITU SMALL EARS SERIES,20006426,szt,"1,00","21,96","21,96",23 %,MAGNETYCZNE,,"5,05","17,88","39,84",,,,,,0,0
,UCHYWT FORCELL DO SZYBY H-CT327,20008192,szt,"1,00","16,90","16,90",23 %,MAGNETYCZNE,,"3,89","22,94","39,84",,,,,,0,0
,UCHYWT HOCO DO SZYBY CA67,20006372,szt,"1,00","15,00","15,00",23 %,MAGNETYCZNE,,"3,45","21,59","36,59",,,,,,0,0
,UV HUAWEI P40 PRO,20000387,szt,"1,00","9,84","9,84",23 %,UV,,"2,26","70,65","80,49",,,,,,0,0
,UV SAMSUG S9 BESTSUIT,20000547,szt,"1,00","37,00","37,00",23 %,UV,,"8,51","43,49","80,49",,,,,,0,0
,UV SAMSUG S9 PLUS,20008086,szt,"1,00","19,90","19,90",23 %,UV,,"4,58","60,59","80,49",,,,,,0,0
,UV SAMSUNG NOTE 8,20000240,szt,"1,00","14,99","14,99",23 %,UV,,"3,45","65,50","80,49",,,,,,0,0
,UV SAMSUNG NOTE 9,20000349,szt,"2,00","14,99","29,98",23 %,UV,,"6,90","131,00","145,99",,,,,,0,0
,UV SAMSUNG S10,20000080,szt,"2,00","14,99","29,98",23 %,UV,,"6,90","131,00","145,99",,,,,,0,0
,UV SAMSUNG S10 PLUS,20000059,szt,"3,00","14,99","44,97",23 %,UV,,"10,35","196,50","211,49",,,,,,0,0
,UV SAMSUNG S20 LIGHT,20000127,szt,"3,00","14,99","44,97",23 %,UV,,"10,35","196,50","211,49",,,,,,0,0
,UV SAMSUNG S20 PLUS,20000295,szt,"2,00","14,99","29,98",23 %,UV,,"6,90","131,00","145,99",,,,,,0,0
,UV SAMSUNG S20 PLUS MONKEY,20000288,szt,"1,00","55,34","55,34",23 %,UV,,"12,73","42,22","97,56",,,,,,0,0
,UV SAMSUNG S7 EDGE,20002541,szt,"3,00","14,99","44,97",23 %,UV,,"10,35","196,50","211,49",,,,,,0,0
,UV SAMSUNG S8,20002534,szt,"1,00","14,99","14,99",23 %,UV,,"3,45","65,50","80,49",,,,,,0,0
,UV SAMSUNG S8 PLUS,20000219,szt,"1,00","14,99","14,99",23 %,UV,,"3,45","65,50","80,49",,,,,,0,0
,WIRELESS ODBIORNIK BLUETOOTH,20010706,szt,"1,00","6,50","6,50",23 %,TRANSMITERY,,"1,50","13,83","20,33",,,,,,0,0
,WTYCZKA HOCO 2.1A,20006174,szt,"1,00","8,10","8,10",23 %,PREMIUMM,,"1,86","12,23","20,33",,,,,,0,0
