,Nazwa,Kod,Jm,Ilość,Cena net.,Wartość net.,Stawka,Asortyment,Kategoria,Podatek,Marża net.,Cena sprz,Producent,Opis 1,Opis 2,Opis 3,Opis 4,Ilość kg/l,Il. w opak. zbiorczym
,JELLY SPECJAL XIAOMI REDMI NOTE 10 5G,20011833,szt,"2,00","7,99","15,98",23 %,JELLY SPECJAL,,"3,68","40,94","48,93",,,,,,0,0
,JELLY SPECJAL XIAOMI REDMI NOTE 10 PRO,20011482,szt,"2,00","7,99","15,98",23 %,JELLY SPECJAL,,"3,68","40,94","48,93",,,,,,0,0
,"JELLY SPECJAL XIAOMI REDMI NOTE 10, 10S",20010584,szt,"1,00","7,70","7,70",23 %,JELLY SPECJAL,,"1,77","20,76","28,46",,,,,,0,0
,JELLY SPECJAL XIAOMI REDMI NOTE 8,20003753,szt,"4,00","10,90","43,60",23 %,JELLY SPECJAL,,"10,04","70,24","81,14",,,,,,0,0
,JELLY SPECJAL XIAOMI REDMI NOTE 9 PRO/9S,20007737,szt,"3,00","8,00","24,00",23 %,JELLY,,"5,52","61,38","69,38",,,,,,0,0
,JELLY XIAOMI MI NOTE 10,20004149,szt,"1,00","6,77","6,77",23 %,JELLY,,"1,56","16,81","23,58",,,,,,0,0
,JELLY XIAOMI MI NOTE 10 LITE,20004163,szt,"4,00","6,77","27,08",23 %,JELLY,,"6,24","67,24","74,01",,,,,,0,0
,JELLY XIAOMI MI11 LITE 5G,20011369,szt,"5,00","8,10","40,50",23 %,JELLY,,"9,30","77,40","85,50",,,,,,0,0
,JELLY XIAOMI MI9 T,20004637,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY XIAOMI REDMI 5 PLUS,20010959,szt,"1,00","6,00","6,00",23 %,JELLY,,"1,38","17,58","23,58",,,,,,0,0
,JELLY XIAOMI REDMI 7A,20004217,szt,"7,00","6,77","47,39",23 %,JELLY,,"10,92","117,67","124,44",,,,,,0,0
,JELLY XIAOMI REDMI 8,20004064,szt,"9,00","6,77","60,93",23 %,JELLY,,"14,04","151,29","158,06",,,,,,0,0
,JELLY XIAOMI REDMI 8A,20004101,szt,"7,00","6,77","47,39",23 %,JELLY,,"10,92","117,67","124,44",,,,,,0,0
,JELLY XIAOMI REDMI NOTE 10,20009991,szt,"1,00","4,15","4,15",23 %,JELLY,,"0,95","19,43","23,58",,,,,,0,0
,"JELLY XIAOMI REDMI NOTE 10 5G, POCO M3 PRO, POCO M3 PRO 5G",20011710,szt,"5,00","3,90","19,50",23 %,JELLY,,"4,50","98,40","102,30",,,,,,0,0
,JELLY XIAOMI REDMI NOTE 10 PRO,20009731,szt,"3,00","4,05","12,15",23 %,JELLY,,"2,79","58,59","62,64",,,,,,0,0
,"JELLY XIAOMI REDMI NOTE 10, 10S",20010591,szt,"1,00","2,95","2,95",23 %,JELLY,,"0,68","20,63","23,58",,,,,,0,0
,JELLY XIAOMI REDMI NOTE 7,20004262,szt,"3,00","6,00","18,00",23 %,JELLY,,"4,14","52,74","58,74",,,,,,0,0
,JELLY XIAOMI REDMI NOTE 8,20003760,szt,"4,00","6,77","27,08",23 %,JELLY,,"6,24","67,24","74,01",,,,,,0,0
,JELLY XIAOMI REDMI NOTE 9 PRO/9S,20004453,szt,"1,00","4,05","4,05",23 %,JELLY,,"0,93","19,53","23,58",,,,,,0,0
,JELLY XIAOMI REDMI NOTE 9T 5G,20009595,szt,"3,00","10,98","32,94",23 %,JELLY,,"7,59","37,80","48,78",,,,,,0,0
,KABEL AWEI MICRO USB 100CM,20006006,szt,"1,00","8,64","8,64",23 %,PREMIUM,,"1,99","19,82","28,46",,,,,,0,0
,KABEL HOCO TIMER U29,20005948,szt,"1,00","11,00","11,00",23 %,PREMIUM,,"2,53","21,52","32,52",,,,,,0,0
,KABEL ORYG TYP C - C,20010775,szt,"8,00","9,30","74,40",23 %,ORYGINALNEE,,"17,12","153,28","162,58",,,,,,0,0
,KABEL OTG T_0010289/P1000,20006594,szt,"2,00","3,50","7,00",23 %,ADAPTERY,,"1,62","17,40","20,90",,,,,,0,0
,KABEL OTG TYPE-C,20006570,szt,"1,00","2,49","2,49",23 %,ADAPTERY,,"0,57","9,71","12,20",,,,,,0,0
,KABEL TYP C - C,20011017,szt,"5,00","10,50","52,50",23 %,ZAMIENNIKII,,"12,10","49,15","59,65",,,,,,0,0
,KABURA HUAWEI P SMART 2021,20011420,szt,"1,00","4,35","4,35",23 %,KABURA,,"1,00","19,23","23,58",,,,,,0,0
,KABURA HUAWEI P30,20004439,szt,"1,00","4,90","4,90",23 %,KABURA,,"1,13","18,68","23,58",,,,,,0,0
,KABURA HUAWEI P30 LITE,20004408,szt,"2,00","9,38","18,76",23 %,KABURA,,"4,32","28,40","37,78",,,,,,0,0
,KABURA HUAWEI P30 PRO,20004323,szt,"1,00","3,49","3,49",23 %,KABURA,,"0,80","20,09","23,58",,,,,,0,0
,KABURA HUAWEI P40,20003883,szt,"2,00","4,90","9,80",23 %,KABURA,,"2,26","37,36","42,26",,,,,,0,0
,KABURA HUAWEI P40 LITE 5G,20008079,szt,"1,00","5,19","5,19",23 %,KABURA,,"1,19","18,39","23,58",,,,,,0,0
,KABURA HUAWEI P40 PRO,20009779,szt,"2,00","3,00","6,00",23 %,KABURA,,"1,38","41,16","44,16",,,,,,0,0
,KABURA HUAWEI P40LITE,20003869,szt,"3,00","6,00","18,00",23 %,KABURA,,"4,14","52,74","58,74",,,,,,0,0
,KABURA HUAWEI P40LITE E,20003937,szt,"2,00","4,85","9,70",23 %,KABURA,,"2,24","37,46","42,31",,,,,,0,0
,KABURA HUAWEI Y6P,20004057,szt,"2,00","4,90","9,80",23 %,KABURA,,"2,26","37,36","42,26",,,,,,0,0
,KABURA IPHONE 11,20002909,szt,"2,00","4,60","9,20",23 %,KABURA,,"2,12","37,96","42,56",,,,,,0,0
,KABURA IPHONE 12 MINI,20007263,szt,"1,00","5,50","5,50",23 %,KABURA,,"1,27","18,08","23,58",,,,,,0,0
,KABURA IPHONE 12 PRO MAX,20007294,szt,"1,00","4,53","4,53",23 %,KABURA,,"1,04","19,05","23,58",,,,,,0,0
,KABURA IPHONE 13 PRO,20011871,szt,"2,00","6,25","12,50",23 %,KABURA,,"2,88","34,66","40,91",,,,,,0,0
,KABURA IPHONE 13 PRO MAX,20011888,szt,"3,00","6,25","18,75",23 %,KABURA,,"4,32","51,99","58,24",,,,,,0,0
,KABURA IPHONE 7/8/2020SE,20002886,szt,"4,00","9,38","37,52",23 %,KABURA,,"8,64","56,80","66,18",,,,,,0,0
,KABURA IPHONE XR,20003487,szt,"2,00","4,90","9,80",23 %,KABURA,,"2,26","37,36","42,26",,,,,,0,0
,KABURA IPHONE XS MAX,20003111,szt,"2,00","8,90","17,80",23 %,KABURA,,"4,10","29,36","38,26",,,,,,0,0
,KABURA OPPO A31,20009946,szt,"1,00","4,35","4,35",23 %,KABURA,,"1,00","19,23","23,58",,,,,,0,0
,KABURA ORG HUAWEI P20,20006853,szt,"1,00","30,00","30,00",23 %,ORYGINAŁ KAB.,,"6,90","10,65","40,65",,,,,,0,0
,KABURA ORG HUAWEI P30,20006846,szt,"2,00","30,00","60,00",23 %,ORYGINAŁ KAB.,,"13,80","21,30","51,30",,,,,,0,0
,KABURA ORG HUAWEI P40,20006860,szt,"1,00","30,00","30,00",23 %,ORYGINAŁ KAB.,,"6,90","18,78","48,78",,,,,,0,0
,KABURA ORG SAMSUNG A40,20001452,szt,"1,00","87,33","87,33",23 %,ORYGINAŁ KAB.,,"20,09","25,68","113,01",,,,,,0,0
,KABURA ORG SAMSUNG S8 PLUS,20006839,szt,"1,00","87,33","87,33",23 %,ORYGINAŁ KAB.,,"20,09","25,68","113,01",,,,,,0,0
,KABURA SAMSUNG A02S,20010324,szt,"1,00","4,06","4,06",23 %,KABURA,,"0,93","19,52","23,58",,,,,,0,0
,KABURA SAMSUNG A10,20000974,szt,"3,00","7,30","21,90",23 %,KABURA,,"5,04","48,84","56,14",,,,,,0,0
,KABURA SAMSUNG A20S,20008505,szt,"5,00","4,06","20,30",23 %,KABURA,,"4,65","97,60","101,66",,,,,,0,0
,KABURA SAMSUNG A21,20008260,szt,"4,00","6,90","27,60",23 %,KABURA,,"6,36","66,72","73,62",,,,,,0,0
,KABURA SAMSUNG A22 4G,20011703,szt,"4,00","5,08","20,32",23 %,KABURA,,"4,68","74,00","79,08",,,,,,0,0
,KABURA SAMSUNG A30,20001360,szt,"1,00","4,90","4,90",23 %,KABURA,,"1,13","18,68","23,58",,,,,,0,0
,KABURA SAMSUNG A31,20008710,szt,"4,00","6,90","27,60",23 %,KABURA,,"6,36","66,72","73,62",,,,,,0,0
,KABURA SAMSUNG A40,20001483,szt,"1,00","8,90","8,90",23 %,KABURA,,"2,05","14,68","23,58",,,,,,0,0
,KABURA SAMSUNG A51,20007164,szt,"1,00","4,28","4,28",23 %,KABURA,,"0,98","19,30","23,58",,,,,,0,0
,KABURA SAMSUNG A70,20007072,szt,"1,00","5,19","5,19",23 %,KABURA,,"1,19","18,39","23,58",,,,,,0,0
,KABURA SAMSUNG A71,20001209,szt,"2,00","8,90","17,80",23 %,KABURA,,"4,10","29,36","38,26",,,,,,0,0
,KABURA SAMSUNG J5 2017,20007065,szt,"1,00","6,70","6,70",23 %,KABURA,,"1,54","16,88","23,58",,,,,,0,0
,KABURA SAMSUNG J500,20010973,szt,"1,00","7,30","7,30",23 %,KABURA,,"1,68","16,28","23,58",,,,,,0,0
,KABURA SAMSUNG J7 2017,20003388,szt,"1,00","8,90","8,90",23 %,KABURA,,"2,05","14,68","23,58",,,,,,0,0
,KABURA SAMSUNG M11,20008659,szt,"1,00","6,90","6,90",23 %,KABURA,,"1,59","16,68","23,58",,,,,,0,0
,KABURA SAMSUNG M21,20008161,szt,"2,00","4,41","8,82",23 %,KABURA,,"2,02","38,34","42,75",,,,,,0,0
,KABURA SAMSUNG M31,20003548,szt,"3,00","8,90","26,70",23 %,KABURA,,"6,15","44,04","52,94",,,,,,0,0
,KABURA SAMSUNG M31S,20008253,szt,"1,00","4,28","4,28",23 %,KABURA,,"0,98","19,30","23,58",,,,,,0,0
,KABURA SAMSUNG NOTE 10,20001131,szt,"1,00","4,90","4,90",23 %,KABURA,,"1,13","18,68","23,58",,,,,,0,0
,KABURA SAMSUNG NOTE 10 LITE,20001100,szt,"4,00","4,90","19,60",23 %,KABURA,,"4,52","74,72","79,62",,,,,,0,0
,KABURA SAMSUNG NOTE 10 PLUS,20001117,szt,"1,00","4,90","4,90",23 %,KABURA,,"1,13","18,68","23,58",,,,,,0,0
,KABURA SAMSUNG S10,20001001,szt,"4,00","4,90","19,60",23 %,KABURA,,"4,52","74,72","79,62",,,,,,0,0
,KABURA SAMSUNG S10 LITE,20001032,szt,"3,00","4,90","14,70",23 %,KABURA,,"3,39","56,04","60,94",,,,,,0,0
,KABURA SAMSUNG S20,20007157,szt,"2,00","4,30","8,60",23 %,KABURA,,"1,98","38,56","42,86",,,,,,0,0
,KABURA SAMSUNG S20 PLUS,20007119,szt,"3,00","6,19","18,57",23 %,KABURA,,"4,26","52,17","58,36",,,,,,0,0
,"KABURA SAMSUNG S20FE, S20FE 5G",20008222,szt,"2,00","3,68","7,36",23 %,KABURA,,"1,70","39,80","43,48",,,,,,0,0
,KABURA SAMSUNG S7 EDGE,20011130,szt,"1,00","4,28","4,28",23 %,KABURA,,"0,98","19,30","23,58",,,,,,0,0
,KABURA SAMSUNG S9 PLUS,20001315,szt,"2,00","4,90","9,80",23 %,KABURA,,"2,26","37,36","42,26",,,,,,0,0
,KABURA SAMSUNG XCOVER 3,20007768,szt,"1,00","4,09","4,09",23 %,KABURA,,"0,94","19,49","23,58",,,,,,0,0
,KABURA SAMSUNG XCOVER 4,20001544,szt,"1,00","6,90","6,90",23 %,KABURA,,"1,59","16,68","23,58",,,,,,0,0
,KABURA SAMSUNG XCOVER 5,20010621,szt,"1,00","8,34","8,34",23 %,KABURA,,"1,92","15,24","23,58",,,,,,0,0
,KABURA SPECJAL HUAWEI P30,20004422,szt,"7,00","8,90","62,30",23 %,KABURA SEPCJAL,,"14,35","136,92","145,82",,,,,,0,0
,KABURA SPECJAL HUAWEI P30 PRO,20004309,szt,"1,00","8,90","8,90",23 %,KABURA SEPCJAL,,"2,05","19,56","28,46",,,,,,0,0
,KABURA SPECJAL HUAWEI P40 LITE E,20008338,szt,"1,00","8,30","8,30",23 %,KABURA SEPCJAL,,"1,91","20,16","28,46",,,,,,0,0
,KABURA SPECJAL HUAWEI Y5P,20008246,szt,"2,00","7,50","15,00",23 %,KABURA SEPCJAL,,"3,46","41,92","49,42",,,,,,0,0
,KABURA SPECJAL HUAWEI Y6P,20004040,szt,"2,00","10,90","21,80",23 %,KABURA SEPCJAL,,"5,02","35,12","46,02",,,,,,0,0
,KABURA SPECJAL IPHONE 11 PRO,20003500,szt,"4,00","8,90","35,60",23 %,KABURA SEPCJAL,,"8,20","78,24","87,14",,,,,,0,0
,KABURA SPECJAL IPHONE 11 PRO MAX,20003050,szt,"3,00","8,90","26,70",23 %,KABURA SEPCJAL,,"6,15","58,68","67,58",,,,,,0,0
,KABURA SPECJAL IPHONE 13,20011864,szt,"2,00","8,03","16,06",23 %,KABURA SEPCJAL,,"3,70","40,86","48,89",,,,,,0,0
,KABURA SPECJAL IPHONE 13 PRO MAX,20011857,szt,"2,00","8,03","16,06",23 %,KABURA SEPCJAL,,"3,70","40,86","48,89",,,,,,0,0
,KABURA SPECJAL IPHONE XR,20003494,szt,"4,00","8,90","35,60",23 %,KABURA SEPCJAL,,"8,20","78,24","87,14",,,,,,0,0
,KABURA SPECJAL IPHONE XS MAX,20003128,szt,"4,00","8,90","35,60",23 %,KABURA SEPCJAL,,"8,20","78,24","87,14",,,,,,0,0
,"KABURA SPECJAL MOTOROLA G9 PLAY, E7 PLUS",20010430,szt,"1,00","6,50","6,50",23 %,KABURA SEPCJAL,,"1,50","21,96","28,46",,,,,,0,0
,KABURA SPECJAL P40 LITE,20008062,szt,"1,00","8,90","8,90",23 %,KABURA SEPCJAL,,"2,05","19,56","28,46",,,,,,0,0
,KABURA SPECJAL P40 PRO,20007782,szt,"1,00","8,90","8,90",23 %,KABURA SEPCJAL,,"2,05","19,56","28,46",,,,,,0,0
,KABURA SPECJAL SAMSUNG A10,20007171,szt,"1,00","7,30","7,30",23 %,KABURA SEPCJAL,,"1,68","21,16","28,46",,,,,,0,0
,KABURA SPECJAL SAMSUNG A20E,20007195,szt,"1,00","7,73","7,73",23 %,KABURA SEPCJAL,,"1,78","20,73","28,46",,,,,,0,0
,KABURA SPECJAL SAMSUNG A22 5G,20011642,szt,"3,00","8,34","25,02",23 %,KABURA SEPCJAL,,"5,76","60,36","68,70",,,,,,0,0
,KABURA SPECJAL SAMSUNG A30,20001377,szt,"4,00","8,90","35,60",23 %,KABURA SEPCJAL,,"8,20","78,24","87,14",,,,,,0,0
,KABURA SPECJAL SAMSUNG A32,20011505,szt,"4,00","4,28","17,12",23 %,KABURA SEPCJAL,,"3,92","77,20","81,48",,,,,,0,0
,KABURA SPECJAL SAMSUNG A32 5G,20009380,szt,"3,00","10,40","31,20",23 %,KABURA SEPCJAL,,"7,17","54,18","64,58",,,,,,0,0
,KABURA SPECJAL SAMSUNG A40,20001476,szt,"2,00","8,90","17,80",23 %,KABURA SEPCJAL,,"4,10","39,12","48,02",,,,,,0,0
,KABURA SPECJAL SAMSUNG A52,20009373,szt,"3,00","8,90","26,70",23 %,KABURA SEPCJAL,,"6,15","58,68","67,58",,,,,,0,0
,KABURA SPECJAL SAMSUNG A6 plus 2018,20011819,szt,"1,00","4,28","4,28",23 %,KABURA SEPCJAL,,"0,98","19,30","23,58",,,,,,0,0
,KABURA SPECJAL SAMSUNG J3 2017,20003425,szt,"1,00","10,99","10,99",23 %,KABURA SEPCJAL,,"2,53","17,47","28,46",,,,,,0,0
,KABURA SPECJAL SAMSUNG M21,20001438,szt,"1,00","7,30","7,30",23 %,KABURA SEPCJAL,,"1,68","21,16","28,46",,,,,,0,0
,KABURA SPECJAL SAMSUNG M51,20007775,szt,"7,00","4,30","30,10",23 %,KABURA SEPCJAL,,"6,93","169,12","173,42",,,,,,0,0
,KABURA SPECJAL SAMSUNG S10,20001018,szt,"2,00","8,90","17,80",23 %,KABURA SEPCJAL,,"4,10","39,12","48,02",,,,,,0,0
,KABURA SPECJAL SAMSUNG S10 LITE,20001049,szt,"4,00","8,90","35,60",23 %,KABURA SEPCJAL,,"8,20","78,24","87,14",,,,,,0,0
,KABURA SPECJAL SAMSUNG S10 PLUS,20001056,szt,"3,00","8,90","26,70",23 %,KABURA SEPCJAL,,"6,15","58,68","67,58",,,,,,0,0
,KABURA SPECJAL SAMSUNG S10E,20001650,szt,"3,00","8,90","26,70",23 %,KABURA SEPCJAL,,"6,15","58,68","67,58",,,,,,0,0
,KABURA SPECJAL SAMSUNG S20 PLUS,20010867,szt,"3,00","8,10","24,30",23 %,KABURA SEPCJAL,,"5,58","61,08","69,18",,,,,,0,0
,KABURA SPECJAL SAMSUNG S20 ULTRA,20001605,szt,"6,00","8,90","53,40",23 %,KABURA SEPCJAL,,"12,30","117,36","126,26",,,,,,0,0
,KABURA SPECJAL SAMSUNG S21,20008406,szt,"1,00","6,90","6,90",23 %,KABURA SEPCJAL,,"1,59","21,56","28,46",,,,,,0,0
,KABURA SPECJAL SAMSUNG S21 PLUS,20008413,szt,"1,00","6,90","6,90",23 %,KABURA SEPCJAL,,"1,59","21,56","28,46",,,,,,0,0
,KABURA SPECJAL SAMSUNG S9 PLUS,20001308,szt,"3,00","8,90","26,70",23 %,KABURA SEPCJAL,,"6,15","58,68","67,58",,,,,,0,0
,"KABURA SPECJAL XIAOMI MI 10T 5G, MI 10T PRO 5G",20010188,szt,"5,00","6,90","34,50",23 %,KABURA SEPCJAL,,"7,95","107,80","114,70",,,,,,0,0
,KABURA SPECJAL XIAOMI REDMI 8,20004088,szt,"2,00","8,90","17,80",23 %,KABURA SEPCJAL,,"4,10","39,12","48,02",,,,,,0,0
,KABURA SPECJAL XIAOMI REDMI 8A,20004132,szt,"6,00","8,90","53,40",23 %,KABURA SEPCJAL,,"12,30","117,36","126,26",,,,,,0,0
,KABURA SPECJAL XIAOMI REDMI NOTE 10,20010027,szt,"1,00","6,90","6,90",23 %,KABURA SEPCJAL,,"1,59","21,56","28,46",,,,,,0,0
,"KABURA SPECJAL XIAOMI REDMI NOTE 10 5G, POCO M3 PRO, POCO M3 PRO 5G",20010980,szt,"1,00","9,38","9,38",23 %,KABURA SEPCJAL,,"2,16","19,08","28,46",,,,,,0,0
,KABURA SPECJAL XIAOMI REDMI NOTE 8,20003784,szt,"1,00","8,90","8,90",23 %,KABURA SEPCJAL,,"2,05","19,56","28,46",,,,,,0,0
,KABURA SPECJAL XIAOMI REDMI NOTE 8 PRO,20003982,szt,"1,00","8,10","8,10",23 %,KABURA SEPCJAL,,"1,86","20,36","28,46",,,,,,0,0
,KABURA SPECJAL XIAOMI REDMI NOTE 9T 5G,20009588,szt,"3,00","4,49","13,47",23 %,KABURA SEPCJAL,,"3,09","71,91","76,40",,,,,,0,0
,KABURA UNIWERSALNA,20004675,szt,"5,00","6,90","34,50",23 %,UNIWERSALNE,,"7,95","67,15","74,05",,,,,,0,0
,KABURA UNIWERSALNA NA PASEK,20004699,szt,"2,00","5,29","10,58",23 %,UNIWERSALNE,,"2,44","30,08","35,37",,,,,,0,0
,KABURA UNIWERSALNA SPORT,20004668,szt,"2,00","10,85","21,70",23 %,UNIWERSALNE,,"5,00","18,96","29,81",,,,,,0,0
,KABURA UNIWERSALNA WSUWKA,20004682,szt,"7,00","5,29","37,03",23 %,UNIWERSALNE,,"8,54","105,28","110,57",,,,,,0,0
,KABURA XIAOMI MI NOTE 10,20004156,szt,"2,00","8,90","17,80",23 %,KABURA,,"4,10","29,36","38,26",,,,,,0,0
,KABURA XIAOMI MI NOTE 10 LITE,20004170,szt,"3,00","8,90","26,70",23 %,KABURA,,"6,15","44,04","52,94",,,,,,0,0
,KABURA XIAOMI MI9 LITE,20004354,szt,"2,00","4,90","9,80",23 %,KABURA,,"2,26","37,36","42,26",,,,,,0,0
,KABURA XIAOMI MI9 T,20004644,szt,"4,00","4,90","19,60",23 %,KABURA,,"4,52","74,72","79,62",,,,,,0,0
,KABURA XIAOMI REDMI 7,20004583,szt,"1,00","4,90","4,90",23 %,KABURA,,"1,13","18,68","23,58",,,,,,0,0
,KABURA XIAOMI REDMI 8,20004095,szt,"1,00","4,06","4,06",23 %,KABURA,,"0,93","19,52","23,58",,,,,,0,0
,KABURA XIAOMI REDMI 8A,20004125,szt,"4,00","4,90","19,60",23 %,KABURA,,"4,52","74,72","79,62",,,,,,0,0
